,Car Name,Price,EMI,Features,Location,Car Brand,Model,Model Year,Gear,Driven (Kms),Ownership,Fuel,EMI (monthly)
1670,2016 Maruti BalenoDELTA DDIS 190 Manual,"5,46,799","â‚¹12,163/month","96,899 km
1st Owner
Diesel",Mumbai,Maruti,['BalenoDELTA DDIS 190'],2016,['Manual'],"96,899",1,Diesel,"12,163"
1671,2015 Maruti CelerioVXI AMT Automatic,"4,32,899","â‚¹9,630/month","14,997 km
1st Owner
Petrol",Mumbai,Maruti,['CelerioVXI AMT'],2015,['Automatic'],"14,997",1,Petrol,"9,630"
1672,2018 Maruti Eeco5 STR CNG WITH AC PLUSHTR Manual,"4,70,799","â‚¹10,473/month","41,301 km
1st Owner
Petrol + CNG",Mumbai,Maruti,['Eeco5 STR CNG WITH AC PLUSHTR'],2018,['Manual'],"41,301",1,Petrol + CNG,"10,473"
1673,2020 Maruti ErtigaVXI CNG Manual,"10,88,699","â‚¹24,218/month","32,402 km
1st Owner
Petrol + CNG",Mumbai,Maruti,['ErtigaVXI CNG'],2020,['Manual'],"32,402",1,Petrol + CNG,"24,218"
1674,2016 Maruti Alto 800LXI CNG Manual,"3,16,399","â‚¹7,038/month","24,792 km
3rd Owner
Petrol + CNG",Mumbai,Maruti,['Alto 800LXI CNG'],2016,['Manual'],"24,792",3,Petrol + CNG,"7,038"
1675,2019 Maruti CelerioVXI CNG Manual,"5,92,099","â‚¹13,171/month","13,577 km
1st Owner
Petrol + CNG",Mumbai,Maruti,['CelerioVXI CNG'],2019,['Manual'],"13,577",1,Petrol + CNG,"13,171"
1676,2013 Hyundai i10SPORTZ 1.2 AT KAPPA2 Automatic,"3,97,299","â‚¹8,838/month","38,942 km
2nd Owner
Petrol",Mumbai,Hyundai,['i10SPORTZ 1.2 AT KAPPA2'],2013,['Automatic'],"38,942",2,Petrol,"8,838"
1677,2012 Maruti SwiftZDI Manual,"4,01,699","â‚¹8,936/month","1,20,642 km
1st Owner
Diesel",Mumbai,Maruti,['SwiftZDI'],2012,['Manual'],"1,20,642",1,Diesel,"8,936"
1678,2017 Maruti BalenoALPHA DDIS 190 Manual,"6,31,999","â‚¹14,058/month","48,828 km
1st Owner
Diesel",Mumbai,Maruti,['BalenoALPHA DDIS 190'],2017,['Manual'],"48,828",1,Diesel,"14,058"
1679,2020 Maruti SwiftVXI Manual,"6,32,199","â‚¹14,063/month","16,286 km
1st Owner
Petrol",Mumbai,Maruti,['SwiftVXI'],2020,['Manual'],"16,286",1,Petrol,"14,063"
1680,2019 Maruti BalenoZETA 1.2 K12 Manual,"7,10,299","â‚¹15,800/month","19,543 km
1st Owner
Petrol",Mumbai,Maruti,['BalenoZETA 1.2 K12'],2019,['Manual'],"19,543",1,Petrol,"15,800"
1681,2015 Maruti CiazZDI SHVS Manual,"6,31,299","â‚¹14,043/month","1,23,586 km
2nd Owner
Diesel",Mumbai,Maruti,['CiazZDI SHVS'],2015,['Manual'],"1,23,586",2,Diesel,"14,043"
1682,2017 Maruti Vitara BrezzaLDI OPT Manual,"7,47,999","â‚¹16,639/month","32,882 km
1st Owner
Diesel",Mumbai,Maruti,['Vitara BrezzaLDI OPT'],2017,['Manual'],"32,882",1,Diesel,"16,639"
1683,2014 Hyundai XcentS 1.2 OPT Manual,"4,29,099","â‚¹9,545/month","64,894 km
1st Owner
Petrol",Mumbai,Hyundai,['XcentS 1.2 OPT'],2014,['Manual'],"64,894",1,Petrol,"9,545"
1684,2020 Hyundai VENUES MT 1.2 KAPPA Manual,"9,01,799","â‚¹20,060/month","547 km
1st Owner
Petrol",Mumbai,Hyundai,['VENUES MT 1.2 KAPPA'],2020,['Manual'],547,1,Petrol,"20,060"
1685,2018 Maruti DzireVDI Manual,"7,28,699","â‚¹16,210/month","53,186 km
1st Owner
Diesel",Mumbai,Maruti,['DzireVDI'],2018,['Manual'],"53,186",1,Diesel,"16,210"
1686,2017 Maruti Wagon R 1.0VXI Manual,"4,19,499","â‚¹9,332/month","45,696 km
1st Owner
Petrol",Mumbai,Maruti,['Wagon R 1.0VXI'],2017,['Manual'],"45,696",1,Petrol,"9,332"
1687,2015 Hyundai Elite i20ASTA 1.2 Manual,"5,58,499","â‚¹12,424/month","74,911 km
1st Owner
Petrol",Mumbai,Hyundai,['Elite i20ASTA 1.2'],2015,['Manual'],"74,911",1,Petrol,"12,424"
1688,2015 Mahindra TUV300T8 AT Automatic,"6,64,499","â‚¹14,781/month","97,261 km
2nd Owner
Diesel",Mumbai,Mahindra,['TUV300T8 AT'],2015,['Automatic'],"97,261",2,Diesel,"14,781"
1689,2015 Hyundai Elite i20ASTA 1.2 Manual,"5,63,799","â‚¹12,541/month","51,851 km
1st Owner
Petrol",Mumbai,Hyundai,['Elite i20ASTA 1.2'],2015,['Manual'],"51,851",1,Petrol,"12,541"
1690,2019 Maruti SwiftZXI AMT Automatic,"6,77,099","â‚¹15,062/month","21,245 km
1st Owner
Petrol",Mumbai,Maruti,['SwiftZXI AMT'],2019,['Automatic'],"21,245",1,Petrol,"15,062"
1691,2018 Maruti S CrossALPHA SHVS Manual,"9,98,599","â‚¹22,213/month","62,769 km
1st Owner
Diesel",Mumbai,Maruti,['S CrossALPHA SHVS'],2018,['Manual'],"62,769",1,Diesel,"22,213"
